LOG1;TIPO_ACID;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;TEMPO;NOITE_DIA;REGIAO
R DESEMBARGADOR AUGUSTO LOUREIRO LIMA;COLISAO;20080101 02:10;TERCA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130101 03:00;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;LESTE
AV IPIRANGA;ABALROAMENTO;20130101 04:50;TERCA-FEIRA;0;0;0;0;0;2;0;0;0;0;0;0;0;CHUVOSO;NOITE;CENTRO
AV EDGAR PIRES DE CASTRO;CAPOTAGEM;20130101 07:15;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;SUL
R ANITA GARIBALDI;CHOQUE;20130101 07:40;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 08:15;TERCA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;NUBLADO;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 11:00;TERCA-FEIRA;1;0;0;0;0;0;0;0;0;0;2;0;0;CHUVOSO;DIA;LESTE
R SEPE TIARAJU;COLISAO;20130101 12:00;TERCA-FEIRA;0;0;0;0;2;1;0;0;0;0;0;0;0;BOM;DIA;SUL
R WALT DISNEY;CHOQUE;20130101 16:00;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R DR CARLOS MARIA BINS;CHOQUE;20130101 18:10;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 20:40;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 21:00;TERCA-FEIRA;0;0;0;0;2;0;0;1;0;0;0;0;0;BOM;NOITE;LESTE
R GEN LIMA E SILVA;CHOQUE;20130101 22:00;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;NUBLADO;NOITE;CENTRO
AV JUCA BATISTA;EVENTUAL;20130101 22:30;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
R DR SALVADOR FRANCA;CHOQUE;20130102 00:00;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130102 01:05;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV JOAO PESSOA;COLISAO;20130102 03:45;QUARTA-FEIRA;2;0;0;0;0;1;0;0;0;1;0;0;0;BOM;NOITE;CENTRO
AV PROTASIO ALVES;ABALROAMENTO;20130102 06:50;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130102 07:20;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV IPIRANGA;COLISAO;20130102 07:30;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
R SALDANHA DA GAMA;ABALROAMENTO;20130102 08:15;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130102 09:00;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R COMANDAI;ABALROAMENTO;20130102 11:40;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;SUL
R JOSE DO PATROCINIO;CHOQUE;20130102 11:50;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV PROTASIO ALVES;COLISAO;20130102 12:27;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;LESTE
R SARMENTO LEITE;ABALROAMENTO;20130102 12:41;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
