LOG1;TIPO_ACID;DATA_HORA
AV ASSIS BRASIL;ABALROAMENTO;20090101 04:00
R JOSE DE ALENCAR;ABALROAMENTO;20090101 04:40
R EUSTAQUIO INACIO DA SILVEIRA;ABALROAMENTO;20090101 07:00
AV FARRAPOS;CHOQUE;20090101 15:15
AV PROTASIO ALVES;ABALROAMENTO;20090101 17:00
AV JOAO PESSOA;ATROPELAMENTO;20090101 19:00
AV PROF OSCAR PEREIRA;ABALROAMENTO;20090101 21:40
AV VENANCIO AIRES;ABALROAMENTO;20090101 23:07
R GEN COUTO DE MAGALHAES;ABALROAMENTO;20090102 08:00
R JOSE FERREIRA JARDIM;COLISAO;20090102 10:10
AV SEVERO DULLIUS;COLISAO;20090102 12:00
AV PLINIO BRASIL MILANO;ABALROAMENTO;20090102 12:30
R DOS ANDRADAS;CHOQUE;20090102 13:00
AV CRISTOVAO COLOMBO;CHOQUE;20090102 15:15
R DR PEREIRA NETO;QUEDA;20090102 17:20
R ACORES;ABALROAMENTO;20090102 18:20
AV OSVALDO ARANHA;ABALROAMENTO;20090102 19:27
AV IPIRANGA;CAPOTAGEM;20090102 21:20
AV PROF OSCAR PEREIRA;ABALROAMENTO;20090102 21:45
AV BALTAZAR DE OLIVEIRA GARCIA;CHOQUE;20090102 21:45
R CABRAL;QUEDA;20090102 22:15
AV ERICO VERISSIMO;ABALROAMENTO;20090102 22:18
R DONA ADDA MASCARENHAS DE MORAES;COLISAO;20090102 22:30
AV INDEPENDENCIA;ATROPELAMENTO;20090102 22:45
AV ALCIDES MAIA;COLISAO;20090102 23:30
R VOLUNTARIOS DA PATRIA;EVENTUAL;20090103 01:00
